model,query_word,rank,neighbor,score
skipgram,king,1,protect,0.23507128655910492
skipgram,king,2,the,0.2175787091255188
skipgram,king,3,becomes,0.20653998851776123
skipgram,king,4,sit,0.18335486948490143
skipgram,king,5,prince,0.1646064668893814
skipgram,queen,1,is,0.24351778626441956
skipgram,queen,2,a,0.16800279915332794
skipgram,queen,3,together,0.16207624971866608
skipgram,queen,4,belong,0.15969134867191315
skipgram,queen,5,girl,0.11070754379034042
skipgram,man,1,young,0.23090006411075592
skipgram,man,2,becomes,0.20336025953292847
skipgram,man,3,royals,0.13898274302482605
skipgram,man,4,royal,0.10251380503177643
skipgram,man,5,throne,0.08554947376251221
skipgram,woman,1,children,0.1985805630683899
skipgram,woman,2,the,0.16669920086860657
skipgram,woman,3,and,0.15156224370002747
skipgram,woman,4,crown,0.13471686840057373
skipgram,woman,5,royal,0.11889171600341797
skipgram,prince,1,king,0.1646064668893814
skipgram,prince,2,the,0.1606520414352417
skipgram,prince,3,together,0.15486514568328857
skipgram,prince,4,rule,0.15420204401016235
skipgram,prince,5,young,0.15160435438156128
skipgram,princess,1,of,0.19425615668296814
skipgram,princess,2,daughter,0.16137096285820007
skipgram,princess,3,belong,0.13611304759979248
skipgram,princess,4,protect,0.12233822047710419
skipgram,princess,5,are,0.11560699343681335
cbow,king,1,protect,0.23508113622665405
cbow,king,2,the,0.217251718044281
cbow,king,3,becomes,0.20652222633361816
cbow,king,4,sit,0.18310599029064178
cbow,king,5,prince,0.16441285610198975
cbow,queen,1,is,0.2431841790676117
cbow,queen,2,a,0.16784727573394775
cbow,queen,3,together,0.16205745935440063
cbow,queen,4,belong,0.1596260368824005
cbow,queen,5,girl,0.1108090877532959
cbow,man,1,young,0.23079422116279602
cbow,man,2,becomes,0.20339928567409515
cbow,man,3,royals,0.13902688026428223
cbow,man,4,royal,0.10250917822122574
cbow,man,5,throne,0.08552141487598419
cbow,woman,1,children,0.1985808163881302
cbow,woman,2,the,0.16651995480060577
cbow,woman,3,and,0.1514706313610077
cbow,woman,4,crown,0.13473911583423615
cbow,woman,5,royal,0.11880876123905182
cbow,prince,1,king,0.16441285610198975
cbow,prince,2,the,0.16052788496017456
cbow,prince,3,together,0.15485389530658722
cbow,prince,4,rule,0.15401887893676758
cbow,prince,5,young,0.15148566663265228
cbow,princess,1,of,0.19433440268039703
cbow,princess,2,daughter,0.16138702630996704
cbow,princess,3,belong,0.136082261800766
cbow,princess,4,protect,0.12235289812088013
cbow,princess,5,are,0.11557658016681671
