save_prefix,model_type,seed,embedding_dim,window_size,min_count,batch_size,epochs,lr,vocab_size,best_val_loss,final_train_loss,final_val_loss,runtime_seconds,checkpoint_path,log_path
paper_cbow_d100_w2_s42,cbow,42,100,2,1,256,5,0.05,43,3.7227017879486084,3.7864131927490234,3.7227017879486084,0.03,results\checkpoints\best_paper_cbow_d100_w2_s42.pt,results\paper\logs\paper_cbow_d100_w2_s42.log
paper_cbow_d100_w2_s7,cbow,7,100,2,1,256,5,0.05,43,3.6180334091186523,3.6039175987243652,3.6180334091186523,0.04,results\checkpoints\best_paper_cbow_d100_w2_s7.pt,results\paper\logs\paper_cbow_d100_w2_s7.log
paper_cbow_d100_w2_s123,cbow,123,100,2,1,256,5,0.05,43,3.743551254272461,3.746779441833496,3.743551254272461,0.03,results\checkpoints\best_paper_cbow_d100_w2_s123.pt,results\paper\logs\paper_cbow_d100_w2_s123.log
paper_skipgram_d100_w2_s42,skipgram,42,100,2,1,256,5,0.05,43,3.643115282058716,3.5182360361857588,3.643115282058716,0.05,results\checkpoints\best_paper_skipgram_d100_w2_s42.pt,results\paper\logs\paper_skipgram_d100_w2_s42.log
paper_skipgram_d100_w2_s7,skipgram,7,100,2,1,256,5,0.05,43,3.358160972595215,3.4367349601653685,3.358160972595215,0.06,results\checkpoints\best_paper_skipgram_d100_w2_s7.pt,results\paper\logs\paper_skipgram_d100_w2_s7.log
paper_skipgram_d100_w2_s123,skipgram,123,100,2,1,256,5,0.05,43,3.500396490097046,3.5198128275124425,3.500396490097046,0.06,results\checkpoints\best_paper_skipgram_d100_w2_s123.pt,results\paper\logs\paper_skipgram_d100_w2_s123.log
paper_ablation_skipgram_d100_w1_s42,skipgram,42,100,1,1,256,5,0.05,43,3.8839755058288574,3.6285467839835723,3.8839755058288574,0.04,results\checkpoints\best_paper_ablation_skipgram_d100_w1_s42.pt,results\paper\logs\paper_ablation_skipgram_d100_w1_s42.log
paper_ablation_skipgram_d100_w2_s42,skipgram,42,100,2,1,256,5,0.05,43,3.643115282058716,3.5182360361857588,3.643115282058716,0.06,results\checkpoints\best_paper_ablation_skipgram_d100_w2_s42.pt,results\paper\logs\paper_ablation_skipgram_d100_w2_s42.log
paper_ablation_skipgram_d100_w4_s42,skipgram,42,100,4,1,256,5,0.05,43,3.588574171066284,3.459637466584461,3.588574171066284,0.09,results\checkpoints\best_paper_ablation_skipgram_d100_w4_s42.pt,results\paper\logs\paper_ablation_skipgram_d100_w4_s42.log
paper_ablation_skipgram_d50_w2_s42,skipgram,42,50,2,1,256,5,0.05,43,3.798233985900879,3.6214111046618727,3.798233985900879,0.07,results\checkpoints\best_paper_ablation_skipgram_d50_w2_s42.pt,results\paper\logs\paper_ablation_skipgram_d50_w2_s42.log
paper_ablation_skipgram_d200_w2_s42,skipgram,42,200,2,1,256,5,0.05,43,3.5894577503204346,3.1705251894801494,3.5894577503204346,0.07,results\checkpoints\best_paper_ablation_skipgram_d200_w2_s42.pt,results\paper\logs\paper_ablation_skipgram_d200_w2_s42.log
